FID,Slope,Elevat,ShrubCov,x_utm,y_utm
1832,3.9247899,712,0.0742582,256459.200000000011642,3893542.200000000186265
1833,4.3260899,714,0.0546810,256499.200000000011642,3893542.200000000186265
1834,3.5224199,717,0.1154380,256539.200000000011642,3893542.200000000186265
1835,1.9276900,719,0.1066620,256579.200000000011642,3893542.200000000186265
1836,1.2909200,720,0.0627819,256619.200000000011642,3893542.200000000186265
1837,1.7899100,720,0.0603066,256659.200000000011642,3893542.200000000186265
1838,2.2917299,722,0.0776335,256699.200000000011642,3893542.200000000186265
1839,1.8427900,723,0.0760584,256739.200000000011642,3893542.200000000186265
1840,2.1771801,723,0.1109370,256779.200000000011642,3893542.200000000186265
1841,2.5050900,723,0.0893348,256819.200000000011642,3893542.200000000186265
1842,1.9768800,722,0.0873096,256859.200000000011642,3893542.200000000186265
1843,1.2909200,722,0.1010360,256899.200000000011642,3893542.200000000186265
1844,2.5304899,724,0.1163380,256939.200000000011642,3893542.200000000186265
1845,2.2636399,726,0.1392900,256979.200000000011642,3893542.200000000186265
1846,2.0406101,727,0.0249778,257019.200000000011642,3893542.200000000186265
1847,2.6897199,729,0.0182270,257059.200000000011642,3893542.200000000186265
1848,2.3332300,731,0.0240777,257099.200000000011642,3893542.200000000186265
1849,2.2777200,732,0.0765084,257139.200000000011642,3893542.200000000186265
1850,3.0462301,732,0.2257000,257179.200000000011642,3893542.200000000186265
1851,4.1149402,734,0.3019830,257219.200000000011642,3893542.200000000186265
1852,3.8675399,736,0.1246640,257259.200000000011642,3893542.200000000186265
1853,2.2917299,738,0.1437910,257299.200000000011642,3893542.200000000186265
1854,2.6052001,739,0.1224130,257339.200000000011642,3893542.200000000186265
1855,3.2881701,742,0.0927102,257379.200000000011642,3893542.200000000186265
1856,3.6817801,744,0.1782200,257419.200000000011642,3893542.200000000186265
1857,5.4204998,747,0.1608930,257459.200000000011642,3893542.200000000186265
1858,6.6549501,752,0.0427547,257499.200000000011642,3893542.200000000186265
1859,7.1338301,757,0.0659323,257539.200000000011642,3893542.200000000186265
1860,7.8170900,763,0.1212880,257579.200000000011642,3893542.200000000186265
1861,6.5326200,769,0.1273640,257619.200000000011642,3893542.200000000186265
1862,2.4823000,705,0.0884347,256219.200000000011642,3893502.200000000186265
1863,2.5304899,706,0.0582814,256259.200000000011642,3893502.200000000186265
1864,4.7998099,710,0.0850594,256299.200000000011642,3893502.200000000186265
1865,4.7666001,712,0.0762834,256339.200000000011642,3893502.200000000186265
1866,3.5941300,711,0.1424410,256379.200000000011642,3893502.200000000186265
1867,1.6010500,710,0.0688576,256419.200000000011642,3893502.200000000186265
1868,2.3332300,711,0.0864095,256459.200000000011642,3893502.200000000186265
1869,3.9329000,713,0.1091370,256499.200000000011642,3893502.200000000186265
1870,3.9329000,717,0.1152130,256539.200000000011642,3893502.200000000186265
1871,1.6209300,719,0.0618818,256579.200000000011642,3893502.200000000186265
1872,0.7161600,719,0.0675074,256619.200000000011642,3893502.200000000186265
1873,1.9768800,719,0.0366790,256659.200000000011642,3893502.200000000186265
1874,3.5224199,720,0.0252028,256699.200000000011642,3893502.200000000186265
1875,3.3932500,721,0.0776335,256739.200000000011642,3893502.200000000186265
1876,2.6897199,721,0.1469410,256779.200000000011642,3893502.200000000186265
1877,1.9276900,721,0.1064370,256819.200000000011642,3893502.200000000186265
1878,1.2658600,722,0.0762834,256859.200000000011642,3893502.200000000186265
1879,2.4007900,723,0.0920351,256899.200000000011642,3893502.200000000186265
1880,2.7251401,725,0.1347900,256939.200000000011642,3893502.200000000186265
1881,1.6209300,727,0.0787587,256979.200000000011642,3893502.200000000186265
1882,1.6981100,728,0.0195772,257019.200000000011642,3893502.200000000186265
1883,2.2636399,729,0.0438798,257059.200000000011642,3893502.200000000186265
1884,1.8253300,730,0.0875346,257099.200000000011642,3893502.200000000186265
1885,3.5224199,730,0.1554920,257139.200000000011642,3893502.200000000186265
1886,7.8649302,734,0.2338010,257179.200000000011642,3893502.200000000186265
1887,9.4058905,740,0.0985609,257219.200000000011642,3893502.200000000186265
1888,8.3013201,743,0.1354650,257259.200000000011642,3893502.200000000186265
1889,6.8092299,741,0.1449160,257299.200000000011642,3893502.200000000186265
1890,4.4206400,741,0.0481553,257339.200000000011642,3893502.200000000186265
1891,3.0775199,744,0.0490554,257379.200000000011642,3893502.200000000186265
1892,2.8846400,746,0.0164268,257419.200000000011642,3893502.200000000186265
1893,4.8262000,748,0.0488304,257459.200000000011642,3893502.200000000186265
1894,5.3261600,752,0.0310534,257499.200000000011642,3893502.200000000186265
1895,7.2126002,755,0.0805589,257539.200000000011642,3893502.200000000186265
1896,9.5525904,761,0.1066620,257579.200000000011642,3893502.200000000186265
1897,2.3814700,706,0.1030610,256259.200000000011642,3893462.200000000186265
1898,4.4206400,705,0.1338900,256299.200000000011642,3893462.200000000186265
1899,5.1996698,706,0.1327650,256339.200000000011642,3893462.200000000186265
1900,3.9247899,707,0.1370400,256379.200000000011642,3893462.200000000186265
1901,3.0566900,710,0.0571563,256419.200000000011642,3893462.200000000186265
1902,3.0878799,712,0.1084620,256459.200000000011642,3893462.200000000186265
1903,3.8592999,714,0.0834842,256499.200000000011642,3893462.200000000186265
1904,3.4026401,717,0.0589565,256539.200000000011642,3893462.200000000186265
1905,1.2909200,719,0.0573813,256579.200000000011642,3893462.200000000186265
1906,1.6010500,719,0.0551311,256619.200000000011642,3893462.200000000186265
1907,2.6417601,718,0.0776335,256659.200000000011642,3893462.200000000186265
1908,3.1695199,716,0.1676430,256699.200000000011642,3893462.200000000186265
1909,3.3743899,719,0.2081480,256739.200000000011642,3893462.200000000186265
1910,2.1624300,719,0.1460410,256779.200000000011642,3893462.200000000186265
1911,2.0871301,720,0.1298390,256819.200000000011642,3893462.200000000186265
1912,2.5304899,722,0.0393793,256859.200000000011642,3893462.200000000186265
1913,2.5050900,724,0.0981108,256899.200000000011642,3893462.200000000186265
1914,1.6010500,726,0.1008110,256939.200000000011642,3893462.200000000186265
1915,2.0406101,726,0.0186771,256979.200000000011642,3893462.200000000186265
1916,2.8287201,726,0.0702077,257019.200000000011642,3893462.200000000186265
1917,3.2881701,728,0.1203880,257059.200000000011642,3893462.200000000186265
1918,4.1839800,730,0.2738550,257099.200000000011642,3893462.200000000186265
1919,8.3574400,733,0.3697160,257139.200000000011642,3893462.200000000186265
1920,10.5415001,739,0.3701660,257179.200000000011642,3893462.200000000186265
1921,8.0533400,746,0.2022970,257219.200000000011642,3893462.200000000186265
1922,5.9810100,748,0.1118370,257259.200000000011642,3893462.200000000186265
1923,7.0585799,748,0.2500030,257299.200000000011642,3893462.200000000186265
1924,6.7114801,745,0.0812339,257339.200000000011642,3893462.200000000186265
1925,4.6587400,744,0.1314140,257379.200000000011642,3893462.200000000186265
1926,2.8846400,744,0.1100370,257419.200000000011642,3893462.200000000186265
1927,3.7926600,747,0.0951855,257459.200000000011642,3893462.200000000186265
1928,3.8592999,751,0.1170130,257499.200000000011642,3893462.200000000186265
1929,7.0960598,752,0.1260140,257539.200000000011642,3893462.200000000186265
1930,1.0439100,703,0.2558530,256299.200000000011642,3893422.200000000186265
1931,2.1475899,704,0.3595900,256339.200000000011642,3893422.200000000186265
1932,3.4399400,706,0.2202990,256379.200000000011642,3893422.200000000186265
1933,3.9971700,709,0.1539170,256419.200000000011642,3893422.200000000186265
1934,3.6469700,712,0.0787587,256459.200000000011642,3893422.200000000186265
1935,3.0462301,715,0.0648071,256499.200000000011642,3893422.200000000186265
1936,2.3332300,717,0.0834842,256539.200000000011642,3893422.200000000186265
1937,2.5304899,718,0.0616568,256579.200000000011642,3893422.200000000186265
1938,3.0566900,717,0.0546810,256619.200000000011642,3893422.200000000186265
1939,2.8846400,716,0.1113870,256659.200000000011642,3893422.200000000186265
1940,2.0871301,715,0.1093620,256699.200000000011642,3893422.200000000186265
1941,2.6417601,717,0.0387043,256739.200000000011642,3893422.200000000186265
1942,1.8427900,718,0.0749333,256779.200000000011642,3893422.200000000186265
1943,2.1624300,720,0.0193521,256819.200000000011642,3893422.200000000186265
1944,2.9611499,721,0.0625569,256859.200000000011642,3893422.200000000186265
1945,2.7946200,724,0.1086870,256899.200000000011642,3893422.200000000186265
1946,2.5304899,724,0.0339787,256939.200000000011642,3893422.200000000186265
1947,2.6897199,724,0.0436548,256979.200000000011642,3893422.200000000186265
1948,3.0357201,724,0.0711078,257019.200000000011642,3893422.200000000186265
1949,5.0511498,727,0.2466270,257059.200000000011642,3893422.200000000186265
1950,7.9910598,731,0.3348370,257099.200000000011642,3893422.200000000186265
1951,10.2223997,738,0.3368620,257139.200000000011642,3893422.200000000186265
1952,6.7860799,746,0.1253390,257179.200000000011642,3893422.200000000186265
1953,3.4026401,747,0.1275890,257219.200000000011642,3893422.200000000186265
1954,3.7588899,750,0.0684075,257259.200000000011642,3893422.200000000186265
1955,3.8510301,752,0.1568420,257299.200000000011642,3893422.200000000186265
1956,6.7114801,751,0.2905070,257339.200000000011642,3893422.200000000186265
1957,7.5107799,750,0.1863210,257379.200000000011642,3893422.200000000186265
1958,6.4579501,750,0.2367260,257419.200000000011642,3893422.200000000186265
1959,3.7333701,748,0.2040970,257459.200000000011642,3893422.200000000186265
1960,2.9611499,751,0.0938353,257499.200000000011642,3893422.200000000186265
1961,2.5431001,704,0.0843843,256299.200000000011642,3893382.200000000186265
1962,4.5482702,706,0.1390650,256339.200000000011642,3893382.200000000186265
1963,5.0574298,708,0.1937460,256379.200000000011642,3893382.200000000186265
1964,4.0525599,711,0.0875346,256419.200000000011642,3893382.200000000186265
1965,2.6052001,713,0.0747082,256459.200000000011642,3893382.200000000186265
1966,2.0406101,715,0.1077870,256499.200000000011642,3893382.200000000186265
1967,2.8846400,715,0.1039610,256539.200000000011642,3893382.200000000186265
1968,3.5763299,715,0.0947354,256579.200000000011642,3893382.200000000186265
1969,3.2978599,715,0.0265529,256619.200000000011642,3893382.200000000186265
1970,2.3874300,714,0.1129620,256659.200000000011642,3893382.200000000186265
1971,2.4007900,714,0.0537809,256699.200000000011642,3893382.200000000186265
1972,2.5304899,717,0.0648071,256739.200000000011642,3893382.200000000186265
1973,1.5398700,718,0.0679575,256779.200000000011642,3893382.200000000186265
