Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails
522,2.84,2.2,1.26,4.12,7,2,0,0,696656.8056,4063420.869,3.218857765,5.054475307,0.001841722,,,
524,3.86,3.3,1.51,10.07,3,7,0,0,696690.1641,4063377.454,14.29757595,4.974707127,0.002527999,,,
525,6.32,4.55,1.68,25.3,6,7,0,0,696697.3126,4063397.045,4.981305599,4.876203537,0.00381445,,,
526,5.2,4.9,2.4,32.02,6,7,0,0,696697.9052,4063406.272,4.983131886,4.713953495,0.003779167,,,
527,3.31,3.26,1.32,7.46,6,5,0,0,696705.3669,4063404.445,5.502675533,5.080872059,0.00492175,,,
528,4.88,3.13,1.75,14,6,4,0,0,696697.6246,4063414.591,6.488689899,3.278161764,0.005035502,,,
529,4.63,3.45,2.2,18.4,6,3,0,0,696688.1285,4063423.254,4.331064224,0.662756145,0.004747414,,,
530,7.3,5.8,1.93,42.79,6,5,0,0,696694.266,4063440.157,8.964949608,2.826143503,0.004789566,,,
531,8.8,6.4,2.15,63.4,6,5,0,0,696695.7799,4063444.3,7.799770832,1.932079077,0.005194434,,,
532,2.6,2.4,0.95,3.1,6,3,0,0,696709.5573,4063443.839,9.647925377,0.847527742,0.004907203,,,
533,6,5.4,2.25,38.17,6,4,0,0,696713.1465,4063443.256,9.443915367,1.232471585,0.005549105,,,
534,2.8,2.65,1.63,6.33,6,3,0,0,696713.468,4063437.046,8.645643234,1.709741116,0.005916629,,,
535,4.5,3.8,1.55,13.88,6,4,0,0,696715.6939,4063433.545,8.116083145,1.996943831,0.006745924,,,
536,2.9,2.5,1.4,5.31,6,2,0,0,696713.1462,4063431.6,7.664875984,2.037051678,0.006857934,,,
537,5.44,4.85,2.53,34.95,6,6,0,0,696702.6082,4063431.135,8.158911705,2.329311609,0.005203983,,,
538,2.2,2.6,1.7,5.09,7,5,1,0,696584.7715,4063603.046,8.036289215,9.198961258,0.003931407,11.38,4,4
