FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm,lat,lng
2664,2665,0.173735,734,4.65874,-119.665997,35.153263,257149.2,3893290,,
615,616,0.173732,761,3.94906,-119.677401,35.166351,256149.2,3894770,,
2801,2802,0.173655,745,8.5453501,-119.66509,35.152381,257229.2,3893190,,
167,168,0.173484,772,6.8552599,-119.680544,35.168445,255869.2,3895010,,
533,534,0.173332,764,1.13226,-119.679168,35.166673,255989.2,3894810,,
543,544,0.173306,762,3.23927,-119.676974,35.166721,256189.2,3894810,,
202,203,0.173219,770,3.8510301,-119.679002,35.168299,256009.2,3894990,,
1302,1303,0.172951,749,5.15065,-119.673281,35.161214,256509.2,3894190,,
1955,1956,0.172887,738,7.6184301,-119.667674,35.157552,257009.2,3893770,,
1241,1242,0.172867,760,6.2393899,-119.670447,35.161818,256769.2,3894250,,
87,88,0.172701,778,3.6817801,-119.677935,35.169224,256109.2,3895090,,
1869,1870,0.172544,740,4.0446901,-119.666156,35.158127,257149.2,3893830,,
640,641,0.172484,765,2.8624101,-119.67937,35.166128,255969.2,3894750,,
547,548,0.172293,769,6.7814498,-119.676097,35.166741,256269.2,3894810,,
1601,1602,0.172097,751,5.07621,-119.669054,35.159505,256889.2,3893990,,
40,41,0.172088,782,6.2393899,-119.678172,35.16976,256089.2,3895150,,
545,546,0.171975,765,5.2723298,-119.676536,35.166731,256229.2,3894810,,
726,727,0.171868,769,6.2393899,-119.674532,35.165874,256409.2,3894710,,
260,261,0.171741,765,2.5304899,-119.679648,35.167924,255949.2,3894950,,
2252,2253,0.171588,723,3.8510301,-119.668931,35.155722,256889.2,3893570,,
636,637,0.17139,759,3.64697,-119.680247,35.166108,255889.2,3894750,,
1800,1801,0.171314,746,7.0004802,-119.667264,35.158463,257049.2,3893870,,
331,332,0.171305,768,5.36764,-119.679417,35.167569,255969.2,3894910,,
2827,2828,0.171211,741,8.9016104,-119.665084,35.152201,257229.2,3893170,,
2366,2367,0.171192,720,2.95035,-119.669785,35.154982,256809.2,3893490,,
528,529,0.171169,763,5.4612598,-119.680265,35.166649,255889.2,3894810,,
567,568,0.171156,763,5.15065,-119.68004,35.166473,255909.2,3894790,,
1280,1281,0.170442,750,1.4321001,-119.672629,35.161409,256569.2,3894210,,
1149,1150,0.170287,762,2.0248699,-119.67069,35.162534,256749.2,3894330,,
1637,1638,0.17028,751,5.1996698,-119.667732,35.159354,257009.2,3893970,,
386,387,0.16994,773,4.2891502,-119.675682,35.167471,256309.2,3894890,,
101,102,0.169917,777,3.6817801,-119.679245,35.169015,255989.2,3895070,,
1512,1513,0.169867,756,1.51893,-119.668633,35.160055,256929.2,3894050,,
570,571,0.169748,764,1.4321001,-119.679382,35.166488,255969.2,3894790,,
249,250,0.169701,770,3.0099001,-119.682061,35.167871,255729.2,3894950,,
540,541,0.169661,765,4.0760598,-119.677632,35.166707,256129.2,3894810,,
68,69,0.169597,780,4.0760598,-119.67816,35.169399,256089.2,3895110,,
451,452,0.169446,766,2.5304899,-119.679399,35.167028,255969.2,3894850,,
168,169,0.169422,772,7.4857101,-119.680324,35.16845,255889.2,3895010,,
695,696,0.168955,769,4.5761399,-119.674538,35.166054,256409.2,3894730,,
